ticker,name,provider,category,expense_ratio
1484.T,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,アセットマネジメントＯｎｅ株式会社,国内株式,0.00165
1474.T,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,アセットマネジメントＯｎｅ株式会社,国内株式,0.0017000000000000001
1473.T,Ｏｎｅ　ＥＴＦ　トピックス,アセットマネジメントＯｎｅ株式会社,その他,0.00045
1369.T,Ｏｎｅ　ＥＴＦ　日経２２５,アセットマネジメントＯｎｅ株式会社,国内株式,0.00045
1397.T,ＳＭＤＡＭ　日経２２５上場投信,三井住友ＤＳアセットマネジメント株式会社,国内株式,0.0014000000000000002
1599.T,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００,大和アセットマネジメント株式会社,国内株式,0.0018
1305.T,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,大和アセットマネジメント株式会社,国内株式,0.0006
1488.T,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数,大和アセットマネジメント株式会社,REIT,0.00155
1320.T,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,大和アセットマネジメント株式会社,国内株式,0.0012
1591.T,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信,野村アセットマネジメント株式会社,国内株式,0.001
1545.T,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジなし）連動型上場投信,野村アセットマネジメント株式会社,海外株式,0.002
1699.T,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ原油インデックス連動型上場投信,野村アセットマネジメント株式会社,コモディティ,
1306.T,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,野村アセットマネジメント株式会社,国内株式,0.000511
1621.T,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ－１７）上場投信,野村アセットマネジメント株式会社,国内セクター,0.0032
1628.T,ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰＩＸ－１７）上場投信,野村アセットマネジメント株式会社,国内セクター,0.0032
1618.T,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信,野村アセットマネジメント株式会社,国内セクター,0.0032
1624.T,ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ－１７）上場投信,野村アセットマネジメント株式会社,国内セクター,0.0032
1328.T,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,野村アセットマネジメント株式会社,コモディティ,
1631.T,ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ－１７）上場投信,野村アセットマネジメント株式会社,コモディティ,0.0032
1632.T,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（ＴＯＰＩＸ－１７）上場投信,野村アセットマネジメント株式会社,コモディティ,0.0032
1619.T,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰＩＸ－１７）上場投信,野村アセットマネジメント株式会社,国内株式,0.0032
1630.T,ＮＥＸＴ　ＦＵＮＤＳ　小売（ＴＯＰＩＸ－１７）上場投信,野村アセットマネジメント株式会社,国内セクター,0.0032
